audit_id,source_bucket,company,metric_id,metric_name,value,unit,status,source_class,period_start,period_end,accession,concept_or_section,context_or_dimension,evidence_value,evidence_unit,evidence_quote,audit_verdict,audit_notes
AUDIT_11,8K_ITEM,Marriott International,C01,CEO / CFO changes,3,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0001193125-25-009110;0001193125-25-118861;0001193125-25-158742,8-K Item 5.02,FY window,3;3;3,count;count;count,8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_12,8K_ITEM,Marriott International,E01,M&A announcements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0001048286-25-000011;0001193125-25-009110;0001193125-25-036732;0001193125-25-118853;0001193125-25-118861;0001193125-25-158742;0001193125-25-184082;0001628280-25-004772;0001628280-25-022390;0001628280-25-037592,8-K Item 1.01/2.01/8.01,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no M&A item rule matched.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_13,8K_ITEM,Marriott International,E02,Bankruptcy filings,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0001048286-25-000011;0001193125-25-009110;0001193125-25-036732;0001193125-25-118853;0001193125-25-118861;0001193125-25-158742;0001193125-25-184082;0001628280-25-004772;0001628280-25-022390;0001628280-25-037592,8-K Item 1.03,FY-window 8-K accessions scanned,0,count,No Item 1.03 in FY-window 8-K; zero is normal.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_14,8K_ITEM,Marriott International,E03,Leadership departures,3,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0001193125-25-009110;0001193125-25-118861;0001193125-25-158742,8-K Item 5.02,FY window,3;3;3,count;count;count,8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_15,8K_ITEM,Marriott International,E04,Financial restatements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0001048286-25-000011;0001193125-25-009110;0001193125-25-036732;0001193125-25-118853;0001193125-25-118861;0001193125-25-158742;0001193125-25-184082;0001628280-25-004772;0001628280-25-022390;0001628280-25-037592,8-K Item 4.02,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 4.02 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_16,8K_ITEM,Marriott International,E05,Material agreements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0001048286-25-000011;0001193125-25-009110;0001193125-25-036732;0001193125-25-118853;0001193125-25-118861;0001193125-25-158742;0001193125-25-184082;0001628280-25-004772;0001628280-25-022390;0001628280-25-037592,8-K Item 1.01,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 1.01 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_17,STD_XBRL,Southwest Airlines,B01,Revenue,28063000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0000092380-26-000004,RevenueFromContractWithCustomerExcludingAssessedTax,companyfacts:USD:CY2025,28063000000,USD,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax unit=USD accn=0000092380-26-000004 filed=2026-02-05,PASS,Candidate Result and all evidence rows are bound.
AUDIT_18,DERIVED,Southwest Airlines,B02,Revenue YoY growth,0.02110395517228832369100898737,ratio,OK,DERIVED,2025-01-01,2025-12-31,0000092380-26-000004;0000092380-25-000024,RevenueFromContractWithCustomerExcludingAssessedTax+RevenueFromContractWithCustomerExcludingAssessedTax,companyfacts:USD:CY2025;companyfacts:USD:,0.02110395517228832369100898737,ratio,(Revenue_t - Revenue_t-1) / Revenue_t-1; components=RevenueFromContractWithCustomerExcludingAssessedTax=28063000000;RevenueFromContractWithCustomerExcludingAssessedTax=27483000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_19,DERIVED,Southwest Airlines,B03,EBITDA margin,0.07084060863058119231728610626,ratio,OK,DERIVED,2025-01-01,2025-12-31,0000092380-26-000004;0000092380-26-000004;0000092380-26-000004,OperatingIncomeLoss+DepreciationAndAmortization+RevenueFromContractWithCustomerExcludingAssessedTax,companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025,0.07084060863058119231728610626,ratio,(Operating income + D&A) / revenue; components=OperatingIncomeLoss=428000000;DepreciationAndAmortization=1560000000;RevenueFromContractWithCustomerExcludingAssessedTax=28063000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_20,STD_XBRL,Southwest Airlines,B04,Net income,441000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0000092380-26-000004,NetIncomeLoss,companyfacts:USD:CY2025,441000000,USD,us-gaap:NetIncomeLoss unit=USD accn=0000092380-26-000004 filed=2026-02-05,PASS,Candidate Result and all evidence rows are bound.
AUDIT_21,DERIVED,Southwest Airlines,B05,Free cash flow,-831000000,USD,OK,DERIVED,2025-01-01,2025-12-31,0000092380-26-000004;0000092380-26-000004,NetCashProvidedByUsedInOperatingActivities+PaymentsToAcquireProductiveAssets,companyfacts:USD:CY2025;companyfacts:USD:CY2025,-831000000,USD,operating cash flow - capital expenditures; components=NetCashProvidedByUsedInOperatingActivities=1842000000;PaymentsToAcquireProductiveAssets=2673000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_22,DERIVED,Southwest Airlines,B07,Interest coverage ratio,2.562874251497005988023952096,ratio,OK,DERIVED,2025-01-01,2025-12-31,0000092380-26-000004;0000092380-26-000004,OperatingIncomeLoss+InterestExpenseNonoperating,companyfacts:USD:CY2025;companyfacts:USD:CY2025,2.562874251497005988023952096,ratio,operating income / interest expense; components=OperatingIncomeLoss=428000000;InterestExpenseNonoperating=167000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_23,DERIVED,Southwest Airlines,B08,Current ratio,0.5168940573207581723285413424,ratio,OK,DERIVED,2025-12-31,2025-12-31,0000092380-26-000004;0000092380-26-000004,AssetsCurrent+LiabilitiesCurrent,companyfacts:USD:;companyfacts:USD:,0.5168940573207581723285413424,ratio,current assets / current liabilities; components=AssetsCurrent=5645000000;LiabilitiesCurrent=10921000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_24,STD_XBRL,Southwest Airlines,B09,Cash reserves,3231000000,USD,OK,STD_XBRL,2025-12-31,2025-12-31,0000092380-26-000004,CashAndCashEquivalentsAtCarryingValue,companyfacts:USD:,3231000000,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue unit=USD accn=0000092380-26-000004 filed=2026-02-05,PASS,Candidate Result and all evidence rows are bound.
AUDIT_25,8K_ITEM,Southwest Airlines,C01,CEO / CFO changes,4,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0000092380-25-000025;0000092380-25-000075;0001193125-25-004026;0001193125-25-023650,8-K Item 5.02,FY window,4;4;4;4,count;count;count;count,8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_26,8K_ITEM,Southwest Airlines,E01,M&A announcements,2,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0001193125-25-029062;0001193125-25-262544,8-K Item 1.01/2.01/8.01,FY-window 8-K accessions scanned,2;2,count;count,8-K item 1.01 parsed from hdr.sgml | 8-K item 1.01 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_27,8K_ITEM,Southwest Airlines,E02,Bankruptcy filings,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000092380-25-000003;0000092380-25-000007;0000092380-25-000025;0000092380-25-000059;0000092380-25-000075;0000092380-25-000079;0000092380-25-000117;0000092380-25-000119;0000092380-25-000131;0000092380-25-000138;0000092380-25-000144;0001193125-25-004026;0001193125-25-013376;0001193125-25-023650;0001193125-25-028035;0001193125-25-029062;0001193125-25-262544,8-K Item 1.03,FY-window 8-K accessions scanned,0,count,No Item 1.03 in FY-window 8-K; zero is normal.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_28,8K_ITEM,Southwest Airlines,E03,Leadership departures,4,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0000092380-25-000025;0000092380-25-000075;0001193125-25-004026;0001193125-25-023650,8-K Item 5.02,FY window,4;4;4;4,count;count;count;count,8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_29,8K_ITEM,Southwest Airlines,E04,Financial restatements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000092380-25-000003;0000092380-25-000007;0000092380-25-000025;0000092380-25-000059;0000092380-25-000075;0000092380-25-000079;0000092380-25-000117;0000092380-25-000119;0000092380-25-000131;0000092380-25-000138;0000092380-25-000144;0001193125-25-004026;0001193125-25-013376;0001193125-25-023650;0001193125-25-028035;0001193125-25-029062;0001193125-25-262544,8-K Item 4.02,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 4.02 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_30,8K_ITEM,Southwest Airlines,E05,Material agreements,2,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0001193125-25-029062;0001193125-25-262544,8-K Item 1.01,FY window,2;2,count;count,8-K item 1.01 parsed from hdr.sgml | 8-K item 1.01 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_31,STD_XBRL,Ford Motor Company,B01,Revenue,187267000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0000037996-26-000015,RevenueFromContractWithCustomerExcludingAssessedTax,companyfacts:USD:CY2025,187267000000,USD,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax unit=USD accn=0000037996-26-000015 filed=2026-02-11,PASS,Candidate Result and all evidence rows are bound.
AUDIT_32,DERIVED,Ford Motor Company,B02,Revenue YoY growth,0.01229782909531222971804186127,ratio,OK,DERIVED,2025-01-01,2025-12-31,0000037996-26-000015;0000037996-25-000013,RevenueFromContractWithCustomerExcludingAssessedTax+RevenueFromContractWithCustomerExcludingAssessedTax,companyfacts:USD:CY2025;companyfacts:USD:,0.01229782909531222971804186127,ratio,(Revenue_t - Revenue_t-1) / Revenue_t-1; components=RevenueFromContractWithCustomerExcludingAssessedTax=187267000000;RevenueFromContractWithCustomerExcludingAssessedTax=184992000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_33,DERIVED,Ford Motor Company,B03,EBITDA margin,0.0363384899635280108080975292,ratio,OK,DERIVED,2025-01-01,2025-12-31,0000037996-26-000015;0000037996-26-000015;0000037996-26-000015,OperatingIncomeLoss+DepreciationDepletionAndAmortization+RevenueFromContractWithCustomerExcludingAssessedTax,companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025,0.0363384899635280108080975292,ratio,(Operating income + D&A) / revenue; components=OperatingIncomeLoss=-9169000000;DepreciationDepletionAndAmortization=15974000000;RevenueFromContractWithCustomerExcludingAssessedTax=187267000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_34,STD_XBRL,Ford Motor Company,B04,Net income,-8162000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0000037996-26-000015,ProfitLoss,companyfacts:USD:CY2025,-8162000000,USD,us-gaap:ProfitLoss unit=USD accn=0000037996-26-000015 filed=2026-02-11,PASS,Candidate Result and all evidence rows are bound.
AUDIT_35,DERIVED,Ford Motor Company,B05,Free cash flow,12467000000,USD,OK,DERIVED,2025-01-01,2025-12-31,0000037996-26-000015;0000037996-26-000015,NetCashProvidedByUsedInOperatingActivities+PaymentsToAcquireProductiveAssets,companyfacts:USD:CY2025;companyfacts:USD:CY2025,12467000000,USD,operating cash flow - capital expenditures; components=NetCashProvidedByUsedInOperatingActivities=21282000000;PaymentsToAcquireProductiveAssets=8815000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_36,DERIVED,Ford Motor Company,B08,Current ratio,1.074828096440073113412829663,ratio,OK,DERIVED,2025-12-31,2025-12-31,0000037996-26-000015;0000037996-26-000015,AssetsCurrent+LiabilitiesCurrent,companyfacts:USD:;companyfacts:USD:,1.074828096440073113412829663,ratio,current assets / current liabilities; components=AssetsCurrent=123487000000;LiabilitiesCurrent=114890000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_37,STD_XBRL,Ford Motor Company,B09,Cash reserves,23356000000,USD,OK,STD_XBRL,2025-12-31,2025-12-31,0000037996-26-000015,CashAndCashEquivalentsAtCarryingValue,companyfacts:USD:,23356000000,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue unit=USD accn=0000037996-26-000015 filed=2026-02-11,PASS,Candidate Result and all evidence rows are bound.
AUDIT_38,8K_ITEM,Ford Motor Company,C01,CEO / CFO changes,3,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0000037996-25-000009;0000037996-25-000074;0000037996-25-000236,8-K Item 5.02,FY window,3;3;3,count;count;count,8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_39,8K_ITEM,Ford Motor Company,E01,M&A announcements,2,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0000037996-25-000067;0000037996-25-000143,8-K Item 1.01/2.01/8.01,FY-window 8-K accessions scanned,2;2,count;count,8-K item 1.01 parsed from hdr.sgml | 8-K item 1.01 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_40,8K_ITEM,Ford Motor Company,E02,Bankruptcy filings,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000037996-25-000002;0000037996-25-000006;0000037996-25-000009;0000037996-25-000011;0000037996-25-000065;0000037996-25-000067;0000037996-25-000071;0000037996-25-000074;0000037996-25-000139;0000037996-25-000141;0000037996-25-000143;0000037996-25-000146;0000037996-25-000175;0000037996-25-000185;0000037996-25-000210;0000037996-25-000236;0000037996-25-000238,8-K Item 1.03,FY-window 8-K accessions scanned,0,count,No Item 1.03 in FY-window 8-K; zero is normal.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_41,8K_ITEM,Ford Motor Company,E03,Leadership departures,3,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0000037996-25-000009;0000037996-25-000074;0000037996-25-000236,8-K Item 5.02,FY window,3;3;3,count;count;count,8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml | 8-K item 5.02 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_42,8K_ITEM,Ford Motor Company,E04,Financial restatements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000037996-25-000002;0000037996-25-000006;0000037996-25-000009;0000037996-25-000011;0000037996-25-000065;0000037996-25-000067;0000037996-25-000071;0000037996-25-000074;0000037996-25-000139;0000037996-25-000141;0000037996-25-000143;0000037996-25-000146;0000037996-25-000175;0000037996-25-000185;0000037996-25-000210;0000037996-25-000236;0000037996-25-000238,8-K Item 4.02,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 4.02 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_43,8K_ITEM,Ford Motor Company,E05,Material agreements,2,count,8K_ITEM_OK,8K_ITEM,2025-01-01,2025-12-31,0000037996-25-000067;0000037996-25-000143,8-K Item 1.01,FY window,2;2,count;count,8-K item 1.01 parsed from hdr.sgml | 8-K item 1.01 parsed from hdr.sgml,PASS,Candidate Result and all evidence rows are bound.
AUDIT_44,STD_XBRL,Pfizer,B01,Revenue,62579000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0000078003-26-000026,Revenues,companyfacts:USD:CY2025,62579000000,USD,us-gaap:Revenues unit=USD accn=0000078003-26-000026 filed=2026-02-26,PASS,Candidate Result and all evidence rows are bound.
AUDIT_45,DERIVED,Pfizer,B02,Revenue YoY growth,-0.01647099501783833906989171264,ratio,OK,DERIVED,2025-01-01,2025-12-31,0000078003-26-000026;0000078003-25-000054,Revenues+Revenues,companyfacts:USD:CY2025;companyfacts:USD:,-0.01647099501783833906989171264,ratio,(Revenue_t - Revenue_t-1) / Revenue_t-1; components=Revenues=62579000000;Revenues=63627000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_46,DERIVED,Pfizer,B03,EBITDA margin,0.3329551446971028619824541779,ratio,OK_APPROX,DERIVED,2025-01-01,2025-12-31,0000078003-26-000026;0000078003-26-000026;0000078003-26-000026;0000078003-26-000026,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest+OtherNonoperatingIncomeExpense+DepreciationDepletionAndAmortization+Revenues,companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025,0.3329551446971028619824541779,ratio,(Operating income + D&A) / revenue; components=IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest=7520000000;OtherNonoperatingIncomeExpense=-6724000000;DepreciationDepletionAndAmortization=6592000000;Revenues=62579000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_47,STD_XBRL,Pfizer,B04,Net income,7771000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0000078003-26-000026,NetIncomeLoss,companyfacts:USD:CY2025,7771000000,USD,us-gaap:NetIncomeLoss unit=USD accn=0000078003-26-000026 filed=2026-02-26,PASS,Candidate Result and all evidence rows are bound.
AUDIT_48,DERIVED,Pfizer,B05,Free cash flow,9075000000,USD,OK,DERIVED,2025-01-01,2025-12-31,0000078003-26-000026;0000078003-26-000026,NetCashProvidedByUsedInOperatingActivities+PaymentsToAcquirePropertyPlantAndEquipment,companyfacts:USD:CY2025;companyfacts:USD:CY2025,9075000000,USD,operating cash flow - capital expenditures; components=NetCashProvidedByUsedInOperatingActivities=11704000000;PaymentsToAcquirePropertyPlantAndEquipment=2629000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_49,DERIVED,Pfizer,B07,Interest coverage ratio,5.332834144515162860351928117,ratio,OK_APPROX,DERIVED,2025-01-01,2025-12-31,0000078003-26-000026;0000078003-26-000026;0000078003-26-000026,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest+OtherNonoperatingIncomeExpense+InterestExpense,companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025,5.332834144515162860351928117,ratio,operating income / interest expense; components=IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest=7520000000;OtherNonoperatingIncomeExpense=-6724000000;InterestExpense=2671000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_50,DERIVED,Pfizer,B08,Current ratio,1.159906986805104910231451438,ratio,OK,DERIVED,2025-12-31,2025-12-31,0000078003-26-000026;0000078003-26-000026,AssetsCurrent+LiabilitiesCurrent,companyfacts:USD:;companyfacts:USD:,1.159906986805104910231451438,ratio,current assets / current liabilities; components=AssetsCurrent=42898000000;LiabilitiesCurrent=36984000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_51,STD_XBRL,Pfizer,B09,Cash reserves,1142000000,USD,OK,STD_XBRL,2025-12-31,2025-12-31,0000078003-26-000026,CashAndCashEquivalentsAtCarryingValue,companyfacts:USD:,1142000000,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue unit=USD accn=0000078003-26-000026 filed=2026-02-26,PASS,Candidate Result and all evidence rows are bound.
AUDIT_52,8K_ITEM,Pfizer,C01,CEO / CFO changes,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000078003-25-000017;0000078003-25-000109;0000078003-25-000111;0000078003-25-000136;0000078003-25-000149;0000078003-25-000159;0000078003-25-000167;0001193125-25-122480;0001193125-25-291406,8-K Item 5.02,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 5.02 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_53,8K_ITEM,Pfizer,E01,M&A announcements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000078003-25-000017;0000078003-25-000109;0000078003-25-000111;0000078003-25-000136;0000078003-25-000149;0000078003-25-000159;0000078003-25-000167;0001193125-25-122480;0001193125-25-291406,8-K Item 1.01/2.01/8.01,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no M&A item rule matched.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_54,8K_ITEM,Pfizer,E02,Bankruptcy filings,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000078003-25-000017;0000078003-25-000109;0000078003-25-000111;0000078003-25-000136;0000078003-25-000149;0000078003-25-000159;0000078003-25-000167;0001193125-25-122480;0001193125-25-291406,8-K Item 1.03,FY-window 8-K accessions scanned,0,count,No Item 1.03 in FY-window 8-K; zero is normal.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_55,8K_ITEM,Pfizer,E03,Leadership departures,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000078003-25-000017;0000078003-25-000109;0000078003-25-000111;0000078003-25-000136;0000078003-25-000149;0000078003-25-000159;0000078003-25-000167;0001193125-25-122480;0001193125-25-291406,8-K Item 5.02,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 5.02 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_56,8K_ITEM,Pfizer,E04,Financial restatements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000078003-25-000017;0000078003-25-000109;0000078003-25-000111;0000078003-25-000136;0000078003-25-000149;0000078003-25-000159;0000078003-25-000167;0001193125-25-122480;0001193125-25-291406,8-K Item 4.02,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 4.02 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_57,8K_ITEM,Pfizer,E05,Material agreements,0,count,NOT_AVAILABLE_SEC,8K_ITEM,2025-01-01,2025-12-31,0000078003-25-000017;0000078003-25-000109;0000078003-25-000111;0000078003-25-000136;0000078003-25-000149;0000078003-25-000159;0000078003-25-000167;0001193125-25-122480;0001193125-25-291406,8-K Item 1.01,FY-window 8-K accessions scanned,0,count,FY-window 8-K scanned; no item 1.01 found.,PASS,Candidate Result and all evidence rows are bound.
AUDIT_58,DIM_XBRL,JPMorgan Chase,A01,Tier 1 capital ratio,0.155,pure,DIM_XBRL_OK,DIM_XBRL,2025-01-01,2025-12-31,0001628280-26-008131,TierOneRiskBasedCapitalToRiskWeightedAssets,srt:ConsolidatedEntitiesAxis=srt:ParentCompanyMember;us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIStandardizedMember,0.155,pure,TierOneRiskBasedCapitalToRiskWeightedAssets unit=pure context=c-2053 dimensions=srt:ConsolidatedEntitiesAxis=srt:ParentCompanyMember;us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIStandardizedMember value=0.155,PASS,Candidate Result and all evidence rows are bound.
