producer_id,remaining_metric_scopes,current_symbol_line,origin,production_retirement
scripts/sec_pipeline.py::captive_dimension_axis_allowed,B06,11601,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::captive_dimension_member_allowed,B06,11621,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::captive_finance_signal_from_rows,B06,11694,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::company_extractors,A03 A04 A09 A11 A12 A13 B06 B13 C02 C03 C04 D01 D02 D03 D04,2730,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::company_has_captive_finance_signal,B06,11707,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::concept_excluded_from_total_debt,B06,4687,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::concept_is_captive_debt_probe,B06,11571,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::def14a_quote,C02 C03,7773,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::derived_metric,B06,4165,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::dimension_pairs,B06,11654,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::dump_ecd_facts,C03,7758,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::eight_k_event_update_specs,C04,7189,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::ensure_auditor_fact_from_candidates,C04,12526,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::event_inventory_coverage_errors,C04,7263,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::event_rows_for_metric,C04,7333,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::event_rows_from_document,C04,7081,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::fact_is_annual_duration,A04,3848,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::fact_is_instant,A04 B06,3862,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::fi_mda_table_specs,A03 A04 A11 A12,8088,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::fi_metric_rows,A03 A04 A09 A11 A12 A13,5512,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::governance_risk_event_placeholders,C02 C03 C04 D01 D02 D03 D04,5842,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::has_extractor,A03 A04 A09 A11 A12 A13 B06 B13 C02 C03 C04 D01 D02 D03 D04,5881,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::instant_component_hits_compatible,B06,4413,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::is_dei_namespace,C04,9774,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::is_ecd_namespace,C03,9782,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::legacy_non_migrated_metric_rows,B06,5509,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::mda_anchor_quote,A03 A04 A11 A12,7990,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::normalize_item_code,C04,7019,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::optional_b_metric_ids,B13,5967,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::optional_b_metric_is_main_applicable,B13,5942,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::parse_items_from_hdr,C04,7027,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::parse_items_from_primary_text,C04,7059,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::primary_peo_fact,C03,9935,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::prior_10k_for_company,C04,3797,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::prune_non_applicable_optional_b_metrics,B13,8433,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::raw_auditor_facts_for_candidates,C04,12141,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::repair_c02_board_text_from_governance,C02,10183,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::repair_c03_compensation,C03,10112,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::repair_c04_auditor_changes,C04,12572,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::repair_captive_finance_debt,B06,11889,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::resolve_total_debt_component,B06,4745,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::row_has_captive_finance_signal,B06,11673,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::scaled_mda_value,A03 A04 A11 A12,8016,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::select_auditor_fact_from_candidates,C04,12499,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::select_component,A04 B06,4321,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::select_fact,A04 B06,3969,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::select_target_component,A04 B06,4339,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::snippet_for_pattern,B13 D01 D02 D03 D04,7969,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::special_metric_placeholders,B13,6021,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::stage_compute_standard_metrics,A03 A04 A09 A11 A12 A13 B06 B13 C02 C03 C04 D01 D02 D03 D04,6072,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::stage_extract_8k_events,C04,7676,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::stage_extract_def14a,C02 C03,7783,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::stage_extract_mda_and_risk_text,A03 A04 A11 A12 B13 D01 D02 D03 D04,8480,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::target_10k_for_company,A03 A04 A09 A11 A12 A13 B06 B13 C02 C03 C04 D01 D02 D03 D04,3721,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::target_instant_component_exists,B06,4717,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::text_has_capacity_keywords,B13,11560,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::valid_peo_total_comp_facts,C03,9899,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
